movie_title,image_url
Black Adam,https://www.dc.com/sites/default/files/styles/comics320x485/public/movie-covers/2022/10/Movies-Thumb_BlackAdam_1012_63478cad000886.65212101.jpg?itok=bR6-T2tq
The Suicide Squad,https://www.dc.com/sites/default/files/styles/covers192x291/public/movie-covers/2021/07/Movies-Thumb_TheSuicideSquad2021_july_60e4812d558cd9.83560586.jpg?itok=17HNkwJ6
Wonder Woman 1984,https://www.dc.com/sites/default/files/styles/comics320x485/public/movie-covers/2020/12/Movies-Thumb_WW84_HelmetArt_5fca9741c15786.50981449.jpg?itok=NQGP4ae3
Birds of Prey,https://www.dc.com/sites/default/files/styles/comics320x485/public/movie-covers/2019/12/Movies-Thumb_BoP__5df1b6165d38c7.32399605.jpg?itok=TRinufIM
Shazam!,https://www.dc.com/sites/default/files/styles/comics320x485/public/movie-covers/2019/03/Movies-Thumb_Shazam20190313_5c8934a6c8f4c0.03036534.jpg?itok=fHA3l8M4
Aquaman,https://www.dc.com/sites/default/files/styles/comics320x485/public/movie-covers/2018/11/Movies-Thumb_Aquaman2018_single_5bedc81a90d565.98093378.jpg?itok=fN1OGW6_
Justice League,https://www.dc.com/sites/default/files/styles/comics320x485/public/movie-covers/2017/11/KeyarJL_TheLeague_Keyart_5a206235e32cc1.07186227.jpg?itok=mxVD4Dsr
Wonder Woman,https://www.dc.com/sites/default/files/styles/comics320x485/public/movie-covers/2017/08/Movies-Thumb_WonderWomanMovie2017_59a4b5f04e7ea5.00139244.jpg?itok=weftOt2l
Suicide Squad,https://www.dc.com/sites/default/files/styles/comics320x485/public/movie-covers/2016/08/ThumbMovies_192x291_SuicideSquad_MushroomCloud_57a1211a33b1e7.33170028.jpg?itok=htmFNv3U
Batman V Superman: Dawn of Justice,https://www.dc.com/sites/default/files/styles/comics320x485/public/movie-covers/2016/02/ThumbMovies_192x291_BatmanVSuperman_56d50c33b1efb4.21595592.jpg?itok=NYsLDP_X
Man of Steel,https://www.dc.com/sites/default/files/styles/comics320x485/public/movie-covers/2013/12/manofsteel_thumb_192x291_52ab977d243284.01494825.jpg?itok=at2lKgeF
